name,website,phone,industry,industries,keywords,estimated_num_employees,city,state,country,postal_code,street_address,founded_year,revenue,linkedin_url,twitter_url,facebook_url,publicly_traded_symbol
Bose Corporation,http://www.bose.com,+1 415-348-0382,electrical/electronic manufacturing,"electrical/electronic manufacturing, consumer electronics","home audio, oem automotive audio, professional sound, aviation audio, noise reduction technology, wireless audio, computers & electronics manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering, electronics, high fidelity audio equipment, shopping",6500,Framingham,Massachusetts,United States,01701,100 The Mountain Rd,1964,3.2B,http://www.linkedin.com/company/bose-corporation,https://twitter.com/BoseService,https://www.facebook.com/Bose/,
Panasonic North America,,,electrical/electronic manufacturing,electrical/electronic manufacturing,"complete home, business & industrial solutions, appliances, electrical, & electronics manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering",12000,Newark,New Jersey,United States,07102,828 McCarter Highway,1918,,http://www.linkedin.com/company/panasonic-northamerica,,https://www.facebook.com/Panasonic,
Lonestar EMS,http://www.lonestar-ems.com,+1 972-573-1140,electrical/electronic manufacturing,electrical/electronic manufacturing,"production pcb assembly, electronics box builds, printed circuit boards, surface mount technology, mechanical engineering & tooling, electronics functional testing, dfx design for manufacturing, testing, assembly, supply chain solutions, appliances, electrical, & electronics manufacturing, military-grade pcb design, high-reliability electronics, manufacturing, aerospace & defense, system integration, industrial equipment, space and satellite electronics, itar compliance, certified electronics manufacturing, pcb assembly, system-level integration, space & satellite, medical devices, medical electronics manufacturing, iso 9001:2015, semiconductor and other electronic component manufacturing, automated inspection, b2b, healthcare, defense, space, industrial, oil & gas, electrical/electronic manufacturing, mechanical or industrial engineering, hospital & health care, health care, health, wellness & fitness, oil & energy",32,Farmers Branch,Texas,United States,75234-8913,1900 Diplomat Dr,1971,12.8M,http://www.linkedin.com/company/lonestar-ems,https://twitter.com/Circuitronics,,
Apple,http://www.apple.com,+1 408-996-1010,electrical/electronic manufacturing,electrical/electronic manufacturing,"innovative product development, worldclass operations, retail, telephone support, web development, web design, user experience design, design, consumer internet, internet, information technology, computer manufacturing, technology, computers & electronics manufacturing, premium design, macos, digital payments, long battery life, wireless connectivity, sustainable materials, wearable technology, loyal customer base, cloud services, apple watch, software, smart home, lifestyle, security, immersive entertainment, 5g technology, realitykit, mac, fintech, watchos, sleep tracking, customer service, carbon neutrality, personalized ai, high-resolution displays, fitness tracking, financial services, privacy features, cloud computing, market leader, sustainability, product ecosystem, innovation, developer tools, online shopping, e-commerce, premium products, integrated hardware and software, healthcare, digital assistant, multi-touch technology, recyclable materials, data security, icloud, haptic feedback, streaming services, retail stores, airpods, global presence, face id, spatialaudio, ecosystem, environmental sustainability, health technology, privacy protection, wireless charging, device synchronization, mixed reality, disassembly robots, iphone, mobile devices, trade-in program, gesture control, touch id, lidar scanner, health tech, machine learning, app development, content creation, services, custom silicon, computer and peripheral equipment manufacturing, app store, cloud storage, environmental sensors, financial technology, user experience, app store ecosystem, d2c, software development, product design, digital distribution, privacy, recyclable packaging, spatial photos and videos, performance, biometric security, health monitoring, personal computers, technology leader, online services, market valuation, ipad, privacy-centric design, retina display, augmented reality, spatial computing, ios, tvos, apple tv+, research and development, ai, product customization, arkit, magsafe, apple music, biometric authentication, consumer electronics, apple silicon, software engineering, advanced camera systems, digital media, b2c, ar/vr, environmental initiatives, smart devices, apple, apple vision pro, apple intelligence, smartphone, tablet, laptop, wearable, digital wallet, apple pay, apple arcade, financing options, siri, ipados, 5g, high-resolution cameras, spatial audio, adaptive audio, environmentally friendly, sustainably made, accessibility technology, remote work, facetime, video streaming, health tracking, fitness metrics, notifications, app integration, synchronization, device ecosystem, smart home compatibility, education, manufacturing, distribution, consumer products & retail, information technology & services, consumers, electrical/electronic manufacturing, mechanical or industrial engineering, wearable technologies, wearables, consumer goods, internet of things, hardware, computer hardware, enterprise software, enterprises, computer software, b2b, mobile, finance technology, environmental services, renewables & environment, health care, health, wellness & fitness, hospital & health care, computer & network security, artificial intelligence, apps, ux, research & development",164000,Cupertino,California,United States,95014,1 Apple Park Way,1976,416.2B,http://www.linkedin.com/company/apple,https://twitter.com/apple,https://facebook.com/apple/,AAPL
UEC Advanced Electronics,http://www.uec-corp.com,+1 585-328-2000,electrical/electronic manufacturing,"electrical/electronic manufacturing, computer hardware, mechanical or industrial engineering","contract manufacturing, controls, automation, multidisciplinary design, lowhigh vol assembly, production, rapid prototyping, integration, engineering, printed circuit boards, system design, electronics, circuit card assembly, wire processsing, harness assembly, appliances, electrical, & electronics manufacturing, electronic manufacturing, microelectronics manufacturing, military electronics, software engineering, testing and inspection, product development, services, manufacturing, hybrid thick-film assembly, b2b, manufacturing solutions, complex circuit assemblies, medical device electronics, product lifecycle management, electronics manufacturing, hybrid thick-film circuits, automated inspection, rf amplifiers, government, high-mix low-volume production, mechanical engineering, life cycle extension, electrical engineering, reverse engineering, rf microwave, integrated microwave assemblies, high-reliability electronics, industrial manufacturing, aerospace and defense, consulting, microelectronics, lean manufacturing processes, defense electronics, requirements management, lean manufacturing, space applications, rf / microwave engineering, aerospace electronics, semiconductor and other electronic component manufacturing, engineering design, system engineering, medical devices, healthcare, mechanical or industrial engineering, computer hardware, hardware, electrical/electronic manufacturing, hospital & health care, health care, health, wellness & fitness",130,Hanahan,South Carolina,United States,29410,5914 Howard St,1995,28.7M,http://www.linkedin.com/company/uec-electronics,,,
HARMAN International,http://www.harman.com,+1 800-645-7484,electrical/electronic manufacturing,"electrical/electronic manufacturing, consumer electronics","audio, sound, infotainment, consumer electronics, professional sound, automotive sound, loudspeaker, home entertainment, lighting, connected cars, iot, mobile, e-commerce, automotive, energy efficiency, clean energy, information technology, consumer internet, internet, clean technology, computers & electronics manufacturing, consumers, hardware, information technology & services, environmental services, renewables & environment, clean energy & technology, electrical/electronic manufacturing, mechanical or industrial engineering",30000,Stamford,Connecticut,United States,06901-3512,400 Atlantic St,1980,8.8B,http://www.linkedin.com/company/harman-international,http://www.twitter.com/harmannews,https://www.facebook.com/HarmanInt,HAR
EMS Technologies,http://www.emstech.com,+1 607-772-1794,electrical/electronic manufacturing,electrical/electronic manufacturing,"printed circuit board assembly, electronics contract manufacturing, pcba, appliances, electrical, & electronics manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering",5,West Henrietta,New York,United States,14586-9759,265 Thruway Park Dr,1969,,http://www.linkedin.com/company/ems-technologies-services,,https://facebook.com/emstechnologies,
Amphenol,http://www.amphenol.com,+1 203-265-8900,electrical/electronic manufacturing,electrical/electronic manufacturing,"electrical products, technology, appliances, electrical, & electronics manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering",125000,Wallingford,Connecticut,United States,06492,358 Hall Avenue,1932,15.2B,http://www.linkedin.com/company/amphenol,https://twitter.com/amphenol,https://facebook.com/AmphenolCorporation,APH
Sony Electronics,http://www.sonyjobs.com,,electrical/electronic manufacturing,"electrical/electronic manufacturing, consumer electronics","consumer electronics, consumer software, business, it solutions, sales, marketing, computers & electronics manufacturing, digital cameras, image sensors, professional video equipment, entertainment solutions, mirrorless cameras, services, gaming, smart tvs, high-definition tvs, product development, b2c, consumer gadgets, blu-ray disc, semiconductor manufacturing, entertainment technology, computer and peripheral equipment manufacturing, technology innovation, wireless earbuds, audio technology, blu-ray technology, video recording, cd development, image sensor used in smartphones, sensor technology, research and development, b2b, imaging equipment, entertainment, product innovation, high-resolution cameras, digital media, e-commerce, transistor radios, audio devices, content creation, d2c, semiconductors, digital imaging, back-illuminated cmos sensors, professional equipment, gaming consoles, entertainment content, imaging sensors, sensor manufacturing, playstation, retail, manufacturing, distribution, consumer products & retail, consumers, hardware, electrical/electronic manufacturing, mechanical or industrial engineering, games, research & development, consumer internet, internet, information technology & services",11000,San Diego,California,United States,92127,16535 Via Esprillo,1946,90B,http://www.linkedin.com/company/sony-electronics,https://twitter.com/sony,https://www.facebook.com/Sony/,
Google,http://www.google.com,+1 650-253-0000,information technology & services,"information technology & services, internet, computer software","search, ads, mobile, android, online video, apps, machine learning, virtual reality, cloud, hardware, artificial intelligence, youtube, software, e-commerce, fashion, retail, social commerce, consumer internet, internet, information technology, software development, big data, customer retention, google cloud ai tools, google cloud, smart home ecosystem, b2b, mobile operating system, ai research, personalized content, machine learning models, google lens, consumer electronics, enterprise cloud, advertising & marketing, google photos, ai integration, google ads, smart home technology, data security, data infrastructure, advertising, targeted advertising, digital advertising tools, quantum computing, video sharing, google x, google play, mobile apps, search engine, google services, ai-powered tools, google deepmind, cloud deployment, google brain, data management, cloud storage, cloud security solutions, mobile app development, web application development, user experience, google stadia, personalized search, renewable energy investments, automation tools, google x projects, remarketing, digital ecosystem, google hardware, brand awareness, gmail, targeted ads, google maps, government, google ai applications, digital marketing, data analytics, cloud migration, email service, google chrome, ai for natural language processing, real-time data processing, consulting, cloud service management, marketing automation, api access, cloud security, quantum computing research, google for nonprofits, mobile os, digital payments, video platform, digital advertising, autonomous vehicles, google glass, digital services, web search portals, libraries, archives, and other information services, services, ai for healthcare, data centers, innovation, ai ethics and safety, automated algorithms, google assistant, technology, cloud computing platforms, customer acquisition, cloud infrastructure, lead generation, enterprise solutions, user data analytics, digital transformation, ai solutions for business, advanced data centers, google for startups, online advertising, user experience optimization, google fiber, user engagement, google ai cloud, mobile operating systems, market research, ai-powered insights, video sharing platforms, google for education, cloud apis, web services, software engineering, web browser, google cardboard, self-driving car technology, renewable energy, smart home devices, web development, deep learning frameworks, cloud services, advertising platform, google ai research, google for enterprise, cloud-based software, programmatic advertising, enterprise software, online search, google ai hardware, cloud computing, ai for robotics, self-driving cars, content personalization, ai research divisions, digital marketing automation, google ai software, search ads, display ads, video ads, shopping ads, app ads, conversion tracking, google analytics, roi measurement, customer insights, ad optimization, ad campaign management, audience targeting, performance max, ad spend management, online sales, offline sales, mobile app promotion, retail advertising, ad formats, keyword planner, e-commerce advertising, search engine marketing, pay-per-click, ad monetization, lead tracking, budget optimization, ad creatives, call-to-action ads, analytics integration, marketing roi, data insights, ad reach, geotargeting, business solutions, content monetization, b2c, healthcare, finance, education, non-profit, consumer products & retail, energy & utilities, information technology & services, consumers, enterprises, computer software, computer & network security, ux, marketing & advertising, saas, internet service providers, internet infrastructure, sales, clean energy & technology, environmental services, renewables & environment, marketing, sem, health care, health, wellness & fitness, hospital & health care, financial services, nonprofit organization management",330000,Mountain View,California,United States,94043,1600 Amphitheatre Parkway,1998,304.9B,http://www.linkedin.com/company/google,http://twitter.com/Cat5BoatShoes.com,https://facebook.com/Google,GOOG
TJM Electronics,http://www.totelectronics.com,+1 215-788-2278,electrical/electronic manufacturing,"electrical/electronic manufacturing, mechanical or industrial engineering","pcb prototyping, throughhole assembly, smt assembly, product development, electromechanical assembly, turnkey electronic contract manufacturing, pcb assembly, custom printed circuit board assembly, custom led boards, electronics engineering, contract manufacturing, appliances, electrical, & electronics manufacturing, automated assembly lines, defense electronics manufacturing, electronic contract manufacturing, defense, aerospace, fine pitch assembly, consumer electronics, industrial equipment, b2b, led board production, turnkey pcb solutions, component sourcing, smt pcb assembly, aerospace and defense, as9100d certified, prototype to mass production, flex and rigid-flex pcb, aerospace pcb assembly, quality control, high-reliability pcb manufacturing, semiconductor and other electronic component manufacturing, environmental testing, led lighting, services, medical devices, custom box build, healthcare, manufacturing, industrial, medical, non-commodity consumer electronics, mechanical or industrial engineering, electrical/electronic manufacturing, consumers, hardware, hospital & health care, health care, health, wellness & fitness",25,Warminster,Pennsylvania,United States,18974-2205,353 Ivyland Rd,1989,22.3M,http://www.linkedin.com/company/tjmelectronics,https://twitter.com/thermomegatech,https://www.facebook.com/ThermOmegaTech/,
Amazon,http://www.amazon.com,+1 206-266-1000,information technology & services,"information technology & services, internet","ecommerce, retail, operations, internet, catalog/specialty distribution, consumer discretionary, software development, b2c, healthcare services, logistics automation, voice recognition ai, e-commerce, enterprise it, services, user experience, smart home ecosystem, data analytics, third-party sellers, kindle, online retail, home goods, b2b, enterprise cloud services, machine learning, cloud infrastructure scaling, data storage, cloud-based ai services, voice-activated devices, gaming, global logistics, healthcare data management, smart home automation, aws, automated fulfillment centers, ai, cloud security services, d2c, media streaming, media services, crowdsourcing platform, artificial intelligence, ai in retail, cloud security, digital content licensing, digital media ownership, ai in customer service, ai-driven analytics, cloud security solutions, advertising, cloud computing, voice recognition, smart device integration, consumer electronics, digital content, automated inventory management, content delivery, enterprise cloud, payment processing, cloud computing services, marketplace, technology, ai in logistics, enterprise data analytics, cloud infrastructure, grocery delivery logistics, voice assistant technology, digital content services, media content distribution, market expansion, voice recognition technology, grocery delivery, retail technology, content streaming platform, digital media services, automated warehouse robotics, ai-driven personalization, third-party seller support, enterprise software, healthcare telemedicine, digital payments, grocery logistics optimization, e-commerce platform, global customer base, acquisitions, enterprise cloud solutions, logistics network, healthcare ai, content creation tools, retail innovation, data security, ai and machine learning, supply chain management, cloud computing platforms, digital streaming, customer service, enterprise it infrastructure, smart home, digital content delivery, logistics, prime video, fire tablets, inventory management, affiliate marketing, localization strategies, healthcare technology, localization, innovation, voice assistant, marketplace support, online shopping, media rights management, renewable energy, echo smart speakers, media content licensing, local market adaptation, ai-powered logistics, digital media, digital health services, automated warehouses, smart devices, smart home devices, ai in supply chain, cloud services, media ownership, prime music, content streaming, product delivery, customer reviews, digital marketplace, prime membership, instant streaming, advertising solutions, personalized recommendations, search functionality, mobile shopping, user accounts, shopping cart, checkout process, product categories, customer loyalty, gift cards, subscription services, price comparison, order tracking, returns management, marketplace analytics, product promotions, discount offers, book sales, clothing sales, same-day delivery, app integration, online advertising, global shipping, flash sales, promotional campaigns, website optimization, cross-selling, healthcare, finance, education, distribution, consumer products & retail, transportation & logistics, consumer internet, consumers, information technology & services, health care, health, wellness & fitness, hospital & health care, ux, games, enterprises, computer software, hardware, internet infrastructure, computer & network security, logistics & supply chain, internet of things, marketing & advertising, clean energy & technology, environmental services, renewables & environment, financial services",1560000,Seattle,Washington,United States,98121,2127 7th Avenue,1994,638.0B,http://www.linkedin.com/company/amazon,https://twitter.com/amazon,https://facebook.com/Amazon/,AMZN
Ayrshire Electronics,http://www.ayrshireusa.com,+1 502-625-0760,electrical/electronic manufacturing,"electrical/electronic manufacturing, mechanical or industrial engineering","contract manufacturing, contract electronic manufacturing, electronic manufacturing services, appliances, electrical, & electronics manufacturing, mechanical or industrial engineering, electrical/electronic manufacturing",74,Louisville,Kentucky,United States,40223,10200 Forest Green Blvd,1973,23.7M,http://www.linkedin.com/company/ayrshire-electronics,,,
NI (National Instruments),http://www.ni.com,+1 512-683-0100,electrical/electronic manufacturing,electrical/electronic manufacturing,"engineering, scientists, design, prototype, deploy, measurement, automation, embedded, software, labview, rf, test, wireless, computer software: prepackaged software, technology, appliances, electrical, & electronics manufacturing, information technology & services, telecommunications, electrical/electronic manufacturing, mechanical or industrial engineering",7000,Austin,Texas,United States,78759-3504,11500 N Mopac Expy,1976,1.7B,http://www.linkedin.com/company/niglobal,https://twitter.com/NIglobal,https://facebook.com/NationalInstruments/,NATI
"Surya Electronics, LLC",http://www.surya.us,+1 630-858-8000,electrical/electronic manufacturing,"electrical/electronic manufacturing, mechanical or industrial engineering","printed circuit boards, pcba, technology, electronics manufacturing, manufacturing, appliances, electrical, & electronics manufacturing, distribution, product development, pcb assemblies, b2b, system integration, water soluble soldering, electromechanical assembly, in-house x-ray inspection, prototype to production transition, functional testing, consulting, iso 9001:2015 certification, cable and harness assembly, box build systems, aqueous cleaning, bga rework, turnkey project management, surface mount technology (smt), lean manufacturing, semiconductor and other electronic component manufacturing, contract manufacturing, services, supply chain management, mechanical or industrial engineering, electrical/electronic manufacturing, logistics & supply chain",29,Glendale Heights,Illinois,United States,60139,600 Windy Point Dr,1983,,http://www.linkedin.com/company/surya-electronics-llc,,,
Midea America,,,electrical/electronic manufacturing,electrical/electronic manufacturing,"appliances, electrical, & electronics manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering",530,Parsippany-Troy Hills,New Jersey,United States,07054,300 Kimball Drive,1968,,http://www.linkedin.com/company/midea-america-corp,,https://www.facebook.com/MideaFrance,
